"Site1","Site2","BetaNTI","RCBC","Assembly_Process.BetaNTI","Assembly_Process.RCBC","Assembly_Process","TempConditionType","EpochType","Assembly_Process_expl","StochasticDeterministic","RCBC.nona"
"D30.8","D29.3",-0.485799006803637,0.73,NA,"Drift","Drift","Cold-Cold","Holocene","Stochastic","Stochastic",0.73
"D100.0","D29.3",1.48075239957313,0.59,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",0.59
"D109.2","D29.3",0.26851749114677,0.528,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",0.528
"D125.0","D29.3",-2.77990024992886,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.37
"D125.9","D29.3",-2.41903569647345,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.298
"D126.8","D29.3",-0.426126396461703,0.648,NA,"Drift","Drift","Cold-Cold","Holocene","Stochastic","Stochastic",0.648
"D127.7","D29.3",0.382500218863988,0.258,NA,"Drift","Drift","Cold-Cold","Holocene","Stochastic","Stochastic",0.258
"D128.6","D29.3",-0.0128542093081347,0.612,NA,"Drift","Drift","Cold-Cold","Holocene","Stochastic","Stochastic",0.612
"D131.5","D29.3",-0.491289058616814,0.756,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",0.756
"D134.2","D29.3",-0.964157331279899,-0.76,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.76
"D173.7","D29.3",-1.24930599170013,-0.046,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",-0.046
"D173.9","D29.3",-1.33935340930158,0.036,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.036
"D180.9","D29.3",-2.19862775841463,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.974
"D187.9","D29.3",-1.01649536829973,-0.528,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.528
"D198.7","D29.3",-0.139240261116939,0.962,NA,"Dispersal limitation and drift","Dispersal limitation and drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.962
"D205.3","D29.3",-3.25611688972894,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.474
"D207.6","D29.3",-2.23770260528194,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.596
"D223.1","D29.3",-1.07381678305147,0.31,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.31
"D224.9","D29.3",-3.15768787588388,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.014
"D231.0","D29.3",-0.210154389033603,-0.82,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.82
"D243.9","D29.3",-1.74630730737276,0.688,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.688
"D245.1","D29.3",-2.11132483488637,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.358
"D259.9","D29.3",-1.41543851479419,0.0760000000000001,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.0760000000000001
"D261.2","D29.3",-1.33547410110745,-0.194,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.194
"D271.1","D29.3",-2.19982253651216,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.156
"D275.0","D29.3",-0.961676191780465,-0.878,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.878
"D100.0","D30.8",-3.38686168602789,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.028
"D109.2","D30.8",-2.92253412532834,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.03
"D125.0","D30.8",-2.76183225905585,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.592
"D125.9","D30.8",-3.10471103746564,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.386
"D126.8","D30.8",-2.80138457308113,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.572
"D127.7","D30.8",-4.26702896811733,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.0860000000000001
"D128.6","D30.8",-4.29807490475655,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.16
"D131.5","D30.8",-1.54236764322029,-0.612,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",-0.612
"D134.2","D30.8",-3.09402560506029,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.144
"D173.7","D30.8",-2.90352106000807,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.404
"D173.9","D30.8",-3.24989946062871,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.526
"D180.9","D30.8",-0.549785253725508,0.02,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.02
"D187.9","D30.8",-2.55585374284456,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.116
"D198.7","D30.8",-3.09298559806172,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.468
"D205.3","D30.8",-0.370240791754015,0.492,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.492
"D207.6","D30.8",-2.75232651324995,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.03
"D223.1","D30.8",-3.01550295258846,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.208
"D224.9","D30.8",-2.70615328678519,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.692
"D231.0","D30.8",-2.2892871440033,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.07
"D243.9","D30.8",-2.86414543433298,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0
"D245.1","D30.8",-3.53279965225763,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.412
"D259.9","D30.8",-1.91931546726202,0.186,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.186
"D261.2","D30.8",-2.79966108737035,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.314
"D271.1","D30.8",-1.8978658688149,0.614,NA,"Drift","Drift","Cold-Cold","LGS:Holocene","Stochastic","Stochastic",0.614
"D275.0","D30.8",-0.640703746138411,0.146,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.146
"D109.2","D100.0",-3.49563287830854,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",-0.822
"D125.0","D100.0",-2.35090562406498,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.0620000000000001
"D125.9","D100.0",-2.29034078873764,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.012
"D126.8","D100.0",-2.75031513085605,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.596
"D127.7","D100.0",-4.44541311318795,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.548
"D128.6","D100.0",-4.03703599573531,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.552
"D131.5","D100.0",-2.97074757460063,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",0.136
"D134.2","D100.0",-2.73251226468358,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.618
"D173.7","D100.0",-2.62411241395233,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.188
"D173.9","D100.0",-1.71808496730212,-0.004,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.004
"D180.9","D100.0",-0.744274050883477,-0.468,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.468
"D187.9","D100.0",-3.12239483928169,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.0639999999999999
"D198.7","D100.0",-4.3514578911077,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.342
"D205.3","D100.0",3.79811467605751,NA,"Heterogenous selection",NA,"Heterogenous selection","Warm-Cold","LGS:Holocene","Heterogenous (biotic) selection","Deterministic",0.666
"D207.6","D100.0",-2.9225375072233,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.698
"D223.1","D100.0",-3.76382396244883,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.088
"D224.9","D100.0",-2.55413764588308,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.322
"D231.0","D100.0",-2.41655780319318,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.618
"D243.9","D100.0",-0.617352199463238,-0.114,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.114
"D245.1","D100.0",-2.50613153692145,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.212
"D259.9","D100.0",-2.04815023553087,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.076
"D261.2","D100.0",-2.90101117855141,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.368
"D271.1","D100.0",-2.20023093124418,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.25
"D275.0","D100.0",-0.255800107434647,-0.284,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.284
"D125.0","D109.2",-2.61533742906524,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.334
"D125.9","D109.2",-2.901219438261,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.388
"D126.8","D109.2",-3.92935494168318,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.508
"D127.7","D109.2",-4.36898477849829,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.368
"D128.6","D109.2",-4.34275517213734,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.372
"D131.5","D109.2",-3.13056568643152,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","Holocene","Homogenous (abiotic) selection","Deterministic",-0.2
"D134.2","D109.2",-2.44737132010614,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.67
"D173.7","D109.2",-3.51658945826655,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.476
"D173.9","D109.2",-1.86226863392147,-0.334,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.334
"D180.9","D109.2",-1.2056095604473,-0.606,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.606
"D187.9","D109.2",-3.77888337683628,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.43
"D198.7","D109.2",-4.65914372654147,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",0.158
"D205.3","D109.2",1.85427352721131,0.292,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",0.292
"D207.6","D109.2",-2.98653063886801,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.614
"D223.1","D109.2",-3.08801895197848,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.64
"D224.9","D109.2",-2.69200714435999,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.154
"D231.0","D109.2",-2.53767352555113,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.708
"D243.9","D109.2",-1.26742978809251,-0.38,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.38
"D245.1","D109.2",-1.99919917753569,-0.456,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.456
"D259.9","D109.2",-3.2613185954632,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.406
"D261.2","D109.2",-3.25026465120018,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Warm","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.662
"D271.1","D109.2",-0.915911182661591,-0.146,NA,"Drift","Drift","Warm-Cold","LGS:Holocene","Stochastic","Stochastic",-0.146
"D275.0","D109.2",-0.870395511512736,-0.29,NA,"Drift","Drift","Warm-Warm","LGS:Holocene","Stochastic","Stochastic",-0.29
"D125.9","D125.0",-3.87726137292574,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.842
"D126.8","D125.0",-2.77337877957775,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.324
"D127.7","D125.0",-3.45348229772929,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",-0.162
"D128.6","D125.0",-3.92214592585576,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","Holocene","Homogenous (abiotic) selection","Deterministic",0.556
"D131.5","D125.0",-1.09928040499243,0.428,NA,"Drift","Drift","Warm-Cold","Holocene","Stochastic","Stochastic",0.428
"D134.2","D125.0",-2.57851622755587,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.88
"D173.7","D125.0",-4.35830192943775,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.428
"D173.9","D125.0",-3.68814818420384,NA,"Homogenous selection",NA,"Homogenous selection","Cold-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.184
"D180.9","D125.0",-2.88925323828208,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-1
"D187.9","D125.0",-2.88312338071018,NA,"Homogenous selection",NA,"Homogenous selection","Warm-Cold","LGS:Holocene","Homogenous (abiotic) selection","Deterministic",-0.684
