D30.8,D100.0,D109.2,D125.0,D125.9,D126.8,D127.7,D128.6,D131.5,D134.2,D173.7,D173.9,D180.9,D187.9,D198.7,D205.3,D207.6,D223.1,D224.9,D231.0,D243.9,D245.1,D259.9,D261.2,D271.1,D275.0,D276.6,D282.1,D296.9,D303.5,D307.5,D308.7
NA,3,3,5,5,3,3,3,3,3,3,3,5,3,2,5,5,3,5,3,3,5,3,3,5,3,NA,NA,NA,NA,NA,NA
NA,NA,5,5,5,5,5,5,3,5,5,5,3,5,5,3,5,5,5,5,5,5,3,5,3,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,5,5,5,5,5,5,5,3,3,5,5,1,5,5,5,5,3,5,5,5,5,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,5,5,5,5,5,5,5,3,3,5,5,3,5,5,5,5,3,3,5,5,3,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,5,5,5,3,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,3,5,5,3,5,5,5,3,5,5,3,5,3,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,5,3,5,5,5,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,3,5,5,5,3,5,5,3,3,3,3,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,5,5,5,5,3,5,5,5,5,5,3,3,3,5,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,5,5,5,5,5,3,5,5,3,5,5,3,3,3,2,5,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,4,5,5,3,5,5,3,3,3,2,5,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,5,3,5,5,3,5,3,3,4,3,3,3,3,5,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,5,5,4,5,5,3,5,3,3,3,3,2,5,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,5,3,3,3,2,3,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,1,5,5,3,3,5,3,5,5,2,3,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,5,5,5,3,3,5,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,5,5,5,3,3,2,5,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,3,3,3,2,5,5,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,5,3,3,3,3,3,5,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,3,3,2,5,2,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,3,3,2,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,3,5,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,5,3,5,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,5,2,2
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
