RCBC,site1,site2
0.544,10,20
0,10,19
-0.374,10,18
0.16,10,17
0.668,10,16
0.052,10,15
-0.332,10,14
0.388,10,13
0.33,10,12
-0.352,10,11
0.776,9,33
0.982,9,32
0.708,9,31
0.998,9,30
0.286,9,29
0.138,9,28
-0.564,9,27
0.33,9,26
-0.1,9,25
-0.024,9,24
-0.164,9,23
0.104,9,22
-0.8,9,21
0.59,9,20
-0.318,9,19
-0.63,9,18
0.789,9,17
0.302,9,16
-0.214,9,15
-0.544,9,14
0.044,9,13
-0.014,9,12
-0.86,9,11
0.312,9,10
0.73,8,33
0.988,8,32
0.726,8,31
0.996,8,30
-0.83,12,15
-0.978,12,14
-0.66,12,13
0.42,11,33
0.824,11,32
0.379,11,31
0.908,11,30
0.106,11,29
-0.00600000000000001,11,28
-0.746,11,27
-0.598,11,26
-0.6,11,25
-0.502,11,24
-0.914,11,23
-0.902,11,22
-0.89,11,21
-0.612,11,20
-0.966,11,19
-0.678,11,18
-0.792,11,17
-0.396,11,16
-0.884,11,15
-0.746,11,14
-0.9,11,13
-0.904,11,12
0.796,10,33
0.972,10,32
0.798,10,31
0.986,10,30
0.532,10,29
-0.07,10,28
0.0640000000000001,10,27
0.456,10,26
-0.03,10,25
-0.056,10,24
0.346,10,23
0.104,10,22
-0.496,10,21
0.952,13,33
0.994,13,32
0.926,13,31
0.996,13,30
0.568,13,29
0.25,13,28
-0.856,13,27
-0.34,13,26
-0.556,13,25
-0.292,13,24
-0.27,13,23
0.584,13,22
-0.966,13,21
-0.034,13,20
-0.312,13,19
-0.808,13,18
0.72,13,17
0.926,13,16
-0.802,13,15
-0.956,13,14
0.91,12,33
0.996,12,32
0.842,12,31
0.996,12,30
0.574,12,29
0.191,12,28
-0.704,12,27
-0.71,12,26
-0.826,12,25
-0.636,12,24
-0.346,12,23
0.266,12,22
-0.942,12,21
-0.716,12,20
-0.588,12,19
-0.924,12,18
0.342,12,17
0.84,12,16
0.992,16,17
0.788,15,33
0.98,15,32
0.786,15,31
0.986,15,30
0.556,15,29
0.15,15,28
-0.754,15,27
-0.578,15,26
-0.752,15,25
-0.688,15,24
-0.36,15,23
-0.406,15,22
-0.97,15,21
-0.548,15,20
-0.864,15,19
-0.762,15,18
-0.59,15,17
0.54,15,16
0.806,14,33
0.936,14,32
0.82,14,31
0.916,14,30
0.186,14,29
-0.226,14,28
-0.892,14,27
-0.974,14,26
-0.92,14,25
-0.842,14,24
-0.89,14,23
-0.85,14,22
-0.95,14,21
-0.95,14,20
-0.924,14,19
-0.856,14,18
-0.988,14,17
0.044,14,16
-0.948,14,15
-0.888,18,24
-0.814,18,23
-0.832,18,22
-0.772,18,21
-0.9,18,20
-0.834,18,19
0.97,17,33
1,17,32
0.94,17,31
1,17,30
0.91,17,29
0.124,17,28
-0.848,17,27
0.322,17,26
-0.504,17,25
-0.218,17,24
0.782,17,23
0.982,17,22
-0.996,17,21
0.506,17,20
0.63,17,19
-0.946,17,18
0.796,16,33
0.99,16,32
0.764,16,31
0.998,16,30
0.118,16,29
0.374,16,28
0.038,16,27
0.848,16,26
0.352,16,25
0.534,16,24
0.798,16,23
0.93,16,22
-0.0600000000000001,16,21
0.894,16,20
0.858,16,19
-0.206,16,18
-0.572,2,7
0.386,2,6
0.592,2,5
0.03,2,4
0.028,2,3
0.978,1,33
0.998,1,32
0.988,1,31
0.99,1,30
0.648,1,29
0.216,1,28
-0.878,1,27
0.156,1,26
-0.194,1,25
0.0760000000000001,1,24
0.358,1,23
0.688,1,22
-0.82,1,21
-0.014,1,20
0.31,1,19
-0.596,1,18
0.474,1,17
0.962,1,16
-0.528,1,15
-0.974,1,14
0.036,1,13
-0.046,1,12
-0.76,1,11
0.756,1,10
0.612,1,9
0.258,1,8
0.648,1,7
-0.298,1,6
-0.37,1,5
0.528,1,4
0.59,1,3
0.73,1,2
-0.91,21,23
-0.974,21,22
0.964,20,33
1,20,32
0.958,20,31
0.998,20,30
0.64,20,29
0.186,20,28
-0.516,20,27
-0.666,20,26
-0.894,20,25
-0.624,20,24
0.032,20,23
0.46,20,22
-0.796,20,21
0.874,19,33
0.996,19,32
0.78,19,31
1,19,30
0.672,19,29
0.142,19,28
-0.746,19,27
-0.146,19,26
-0.64,19,25
-0.496,19,24
-0.434,19,23
0.00800000000000001,19,22
-0.998,19,21
-0.085,19,20
0.522,18,33
0.816,18,32
0.456,18,31
0.802,18,30
0.02,18,29
-0.136,18,28
-0.602,18,27
-0.942,18,26
-0.912,18,25
0.812,24,31
0.97,24,30
0.481,24,29
-0.042,24,28
-0.424,24,27
-0.61,24,26
-0.914,24,25
0.868,23,33
0.996,23,32
0.724,23,31
0.996,23,30
0.598,23,29
0.264,23,28
-0.664,23,27
-0.206,23,26
-0.628,23,25
-0.226,23,24
0.918,22,33
1,22,32
0.83,22,31
1,22,30
0.726,22,29
0.132,22,28
-0.656,22,27
0.27,22,26
-0.328,22,25
-0.258,22,24
0.052,22,23
0.549,21,33
0.804,21,32
0.536,21,31
0.9,21,30
0.198,21,29
-0.166,21,28
-0.818,21,27
-0.77,21,26
-0.824,21,25
-0.784,21,24
-0.468,3,14
-0.004,3,13
-0.188,3,12
-0.618,3,11
0.136,3,10
-0.552,3,9
-0.548,3,8
-0.596,3,7
0.012,3,6
0.0620000000000001,3,5
-0.822,3,4
0.522,2,33
0.872,2,32
0.75,2,31
0.966,2,30
0.29,2,29
0.0880000000000001,2,28
0.146,2,27
0.614,2,26
0.314,2,25
0.186,2,24
0.412,2,23
0,2,22
-0.07,2,21
0.692,2,20
0.208,2,19
0.03,2,18
0.492,2,17
0.468,2,16
0.116,2,15
0.02,2,14
0.526,2,13
0.404,2,12
-0.144,2,11
-0.612,2,10
0.16,2,9
0.0860000000000001,2,8
0.112,32,33
0.176,31,33
-0.538,31,32
0.94,30,33
0.012,30,32
-0.932,30,31
0.144,29,33
-0.606,29,32
-0.886,29,31
-0.998,29,30
0.596,28,33
-0.308,28,32
-0.816,28,31
-0.99,28,30
-0.966,28,29
0.744,27,33
0.89,27,32
0.762,27,31
0.904,27,30
0.116,27,29
-0.174,27,28
0.964,26,33
0.996,26,32
0.96,26,31
0.992,26,30
