,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.59,0.028,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.528,0.03,-0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,-0.37,0.592,0.0620000000000001,-0.334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,-0.298,0.386,0.012,-0.388,-0.842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.648,-0.572,-0.596,-0.508,0.324,-0.072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.258,0.0860000000000001,-0.548,-0.368,-0.162,-0.252,-0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.612,0.16,-0.552,-0.372,0.556,0.104,-0.312,-0.816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.756,-0.612,0.136,-0.2,0.428,0.168,-0.588,0.042,0.312,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,-0.76,-0.144,-0.618,-0.67,-0.88,-0.828,-0.598,-0.812,-0.86,-0.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,-0.046,0.404,-0.188,-0.476,-0.428,-0.936,-0.0679999999999999,-0.45,-0.014,0.33,-0.904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.036,0.526,-0.004,-0.334,-0.184,-0.746,-0.022,-0.388,0.044,0.388,-0.9,-0.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,-0.974,0.02,-0.468,-0.606,-1,-0.988,-0.598,-0.736,-0.544,-0.332,-0.746,-0.978,-0.956,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,-0.528,0.116,-0.0639999999999999,-0.43,-0.684,-0.812,-0.43,-0.478,-0.214,0.052,-0.884,-0.83,-0.802,-0.948,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.962,0.468,0.342,0.158,0.99,0.748,0.504,0.324,0.302,0.668,-0.396,0.84,0.926,0.044,0.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.474,0.492,0.666,0.292,0.616,-0.112,0.22,0.168,0.789,0.16,-0.792,0.342,0.72,-0.988,-0.59,0.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,-0.596,0.03,-0.698,-0.614,-0.874,-0.956,-0.524,-0.772,-0.63,-0.374,-0.678,-0.924,-0.808,-0.856,-0.762,-0.206,-0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.31,0.208,-0.088,-0.64,0,-0.634,-0.278,-0.686,-0.318,0,-0.966,-0.588,-0.312,-0.924,-0.864,0.858,0.63,-0.834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,-0.014,0.692,0.322,-0.154,-0.202,-0.92,0.354,0.1,0.59,0.544,-0.612,-0.716,-0.034,-0.95,-0.548,0.894,0.506,-0.9,-0.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,-0.82,-0.07,-0.618,-0.708,-0.992,-0.926,-0.774,-0.872,-0.8,-0.496,-0.89,-0.942,-0.966,-0.95,-0.97,-0.0600000000000001,-0.996,-0.772,-0.998,-0.796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,0.688,0,-0.114,-0.38,0.688,-0.0600000000000001,-0.178,-0.504,0.104,0.104,-0.902,0.266,0.584,-0.85,-0.406,0.93,0.982,-0.832,0.00800000000000001,0.46,-0.974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,0.358,0.412,-0.212,-0.456,-0.126,-0.53,0.106,-0.604,-0.164,0.346,-0.914,-0.346,-0.27,-0.89,-0.36,0.798,0.782,-0.814,-0.434,0.032,-0.91,0.052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,0.0760000000000001,0.186,-0.076,-0.406,-0.36,-0.694,-0.422,-0.38,-0.024,-0.056,-0.502,-0.636,-0.292,-0.842,-0.688,0.534,-0.218,-0.888,-0.496,-0.624,-0.784,-0.258,-0.226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,-0.194,0.314,-0.368,-0.662,-0.842,-0.934,-0.41,-0.34,-0.1,-0.03,-0.6,-0.826,-0.556,-0.92,-0.752,0.352,-0.504,-0.912,-0.64,-0.894,-0.824,-0.328,-0.628,-0.914,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,0.156,0.614,0.25,-0.146,-0.29,-0.918,0.25,0.04,0.33,0.456,-0.598,-0.71,-0.34,-0.974,-0.578,0.848,0.322,-0.942,-0.146,-0.666,-0.77,0.27,-0.206,-0.61,-0.918,NA,NA,NA,NA,NA,NA,NA,NA
27,-0.878,0.146,-0.284,-0.29,-0.918,-0.73,-0.328,-0.576,-0.564,0.0640000000000001,-0.746,-0.704,-0.856,-0.892,-0.754,0.038,-0.848,-0.602,-0.746,-0.516,-0.818,-0.656,-0.664,-0.424,-0.44,-0.618,NA,NA,NA,NA,NA,NA,NA
