,D29.3,D30.8,D100.0,D109.2,D125.0,D125.9,D126.8,D127.7,D128.6,D131.5,D134.2,D173.7,D173.9,D180.9,D187.9,D198.7,D205.3,D207.6,D223.1,D224.9,D231.0,D243.9,D245.1,D259.9,D261.2,D271.1,D275.0,D276.6,D282.1,D296.9,D303.5,D307.5,D308.7
D29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D30.8,-0.485799006803637,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D100.0,1.48075239957313,-3.38686168602789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D109.2,0.26851749114677,-2.92253412532834,-3.49563287830854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D125.0,-2.77990024992886,-2.76183225905585,-2.35090562406498,-2.61533742906524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D125.9,-2.41903569647345,-3.10471103746564,-2.29034078873764,-2.901219438261,-3.87726137292574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D126.8,-0.426126396461703,-2.80138457308113,-2.75031513085605,-3.92935494168318,-2.77337877957775,-3.09886186803265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D127.7,0.382500218863988,-4.26702896811733,-4.44541311318795,-4.36898477849829,-3.45348229772929,-3.41286753457,-3.91866395430892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D128.6,-0.0128542093081347,-4.29807490475655,-4.03703599573531,-4.34275517213734,-3.92214592585576,-3.41383448099247,-4.96850745596857,-4.27329050146786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D131.5,-0.491289058616814,-1.54236764322029,-2.97074757460063,-3.13056568643152,-1.09928040499243,-3.05208784980587,-3.70400899022759,-4.52896088318486,-5.13737787260143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D134.2,-0.964157331279899,-3.09402560506029,-2.73251226468358,-2.44737132010614,-2.57851622755587,-2.80626635689143,-2.97195677154467,-3.45362450903045,-3.22044858295161,-3.13548756827037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D173.7,-1.24930599170013,-2.90352106000807,-2.62411241395233,-3.51658945826655,-4.35830192943775,-3.33956737758561,-3.79843436447457,-4.27220598753753,-5.09833723154259,-2.2407557648747,-3.25409375927993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D173.9,-1.33935340930158,-3.24989946062871,-1.71808496730212,-1.86226863392147,-3.68814818420384,-2.99246964117538,-3.52344200419388,-3.58600080351704,-4.04507180881769,-3.89173203571959,-2.39992807777413,-4.31310640276872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D180.9,-2.19862775841463,-0.549785253725508,-0.744274050883477,-1.2056095604473,-2.88925323828208,-2.47533501103534,-0.36375101570446,-1.55520969868919,-1.85390548424372,-0.819735804108247,-2.40585747297222,-1.33300466934678,-1.43646924285887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D187.9,-1.01649536829973,-2.55585374284456,-3.12239483928169,-3.77888337683628,-2.88312338071018,-3.13001436718301,-2.89025680748336,-4.01349590043088,-4.20086068676617,-2.87752440965696,-3.16779308346611,-4.04437712182473,-3.84532947666458,-0.791194329812856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D198.7,-0.139240261116939,-3.09298559806172,-4.3514578911077,-4.65914372654147,-3.197837629395,-2.88097068020912,-4.25035849573009,-4.84258853633393,-5.39291769994443,-3.66728187396503,-2.94012155778948,-4.07892923977228,-4.9901376518718,-1.62983208553026,-3.27274414942649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D205.3,-3.25611688972894,-0.370240791754015,3.79811467605751,1.85427352721131,-2.98597951235872,-3.46158493351357,0.460269577312225,-1.10086541372741,-0.598163537690244,0.359906168872025,-0.895506506875849,-2.00217195935951,-2.48288797721093,-1.52749485083171,-0.685243672553202,-1.04612734426786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D207.6,-2.23770260528194,-2.75232651324995,-2.9225375072233,-2.98653063886801,-3.33430865751853,-3.0918146252943,-3.23433031390245,-3.58241736264515,-4.01365400704163,-2.16541508889265,-2.84988362857172,-3.01014069117425,-2.70162366485043,-2.19552838508185,-2.52370405662869,-3.24088593629199,-1.9060674242964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D223.1,-1.07381678305147,-3.01550295258846,-3.76382396244883,-3.08801895197848,-4.24826943188541,-3.9818748253722,-4.87804541259943,-3.77269638798158,-2.92720264242048,-3.46774859301004,-2.17950104805373,-4.27691926597363,-4.66931840537032,-1.6283831383299,-3.88701535654085,-4.83634827024127,-2.35606785602173,-3.4406752287288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D224.9,-3.15768787588388,-2.70615328678519,-2.55413764588308,-2.69200714435999,-3.69425244387027,-3.8210374344855,-3.38447717329882,-3.64927917647306,-3.5895998772648,-2.33955863667428,-2.49423574539365,-3.40486284580173,-2.97558625270881,-2.18236003853998,-2.75231114749917,-2.96267188672328,-3.93257720791771,-3.35250863794845,-4.15582109321446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D231.0,-0.210154389033603,-2.2892871440033,-2.41655780319318,-2.53767352555113,-0.867654098463099,-2.12571199227956,-1.48626779139806,-2.64835030990648,-3.09793515874884,-0.694204807492023,-2.35282040524903,-0.928918554329633,-0.494196278504527,-2.18666412632145,-1.70240925269075,-3.45437027012229,3.1195316039716,-2.49967224479142,-2.42217904026689,-1.73231145801258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D243.9,-1.74630730737276,-2.86414543433298,-0.617352199463238,-1.26742978809251,-3.5988319657708,-3.6395112176761,-2.21000185173059,-2.29392786333919,-2.30063152933464,-3.42687087045575,-1.60196595109738,-2.73902451220711,-4.17352417747498,-1.90950130617228,-3.1009432818997,-4.13570824920425,-5.057605335166,-3.27830700064566,-4.04480462186375,-3.21674157447057,-0.779946417920458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
